_CPU_utilization,_disk_read,_disk_utilization,_disk_write,_load_average,_mem_utilization,_net_rx,_net_rx_drop,_net_rx_err,_net_tx,_net_tx_drop,_net_tx_err,label,timestamp
1.047,0,18.1636,360.5333,16.25,14.6743,15.1656,0,0,23.0296,0,0,egde-sample-small-01-control-plane-f7dd6,17:53:51 12/22/22 UTC
1.047,0,18.1636,360.5333,16.25,14.6743,15.1656,0,0,23.0296,0,0,egde-sample-small-01-control-plane-f7dd6,17:54:00 12/22/22 UTC
1.047,0,18.1636,360.5333,16.25,14.6743,15.1656,0,0,23.0296,0,0,egde-sample-small-01-control-plane-f7dd6,17:54:08 12/22/22 UTC
0.5227,0,18.1636,183.2381,16.25,14.6743,7.5161,0,0,11.5686,0,0,egde-sample-small-01-control-plane-f7dd6,17:54:16 12/22/22 UTC
0.5227,0,18.1636,183.2381,16.25,14.6743,7.5161,0,0,11.5686,0,0,egde-sample-small-01-control-plane-f7dd6,17:54:24 12/22/22 UTC
1.0468,0,18.1669,306.2857,14.75,14.6594,14.6931,0,0,22.3162,0,0,egde-sample-small-01-control-plane-f7dd6,17:54:32 12/22/22 UTC
1.0468,0,18.1669,306.2857,14.75,14.6594,14.6931,0,0,22.3162,0,0,egde-sample-small-01-control-plane-f7dd6,17:54:40 12/22/22 UTC
1.0468,0,18.1669,306.2857,14.75,14.6594,14.6931,0,0,22.3162,0,0,egde-sample-small-01-control-plane-f7dd6,17:54:48 12/22/22 UTC
1.0468,0,18.1669,306.2857,14.75,14.6594,14.6931,0,0,22.3162,0,0,egde-sample-small-01-control-plane-f7dd6,17:54:56 12/22/22 UTC
1.0468,0,18.1669,306.2857,14.75,14.6594,14.6931,0,0,22.3162,0,0,egde-sample-small-01-control-plane-f7dd6,17:55:05 12/22/22 UTC
0.5242,0,18.1669,123.0476,14.75,14.6594,7.177,0,0,10.7476,0,0,egde-sample-small-01-control-plane-f7dd6,17:55:13 12/22/22 UTC
0.5242,0,18.1669,123.0476,14.75,14.6594,7.177,0,0,10.7476,0,0,egde-sample-small-01-control-plane-f7dd6,17:55:22 12/22/22 UTC
1.049,0,18.1701,340.0381,13.5,13.5602,15.0153,0,0,23.3935,0,0,egde-sample-small-01-control-plane-f7dd6,17:55:31 12/22/22 UTC
1.049,0,18.1701,340.0381,13.5,13.5602,15.0153,0,0,23.3935,0,0,egde-sample-small-01-control-plane-f7dd6,17:55:39 12/22/22 UTC
1.049,0,18.1701,340.0381,13.5,13.5602,15.0153,0,0,23.3935,0,0,egde-sample-small-01-control-plane-f7dd6,17:55:48 12/22/22 UTC
1.049,0,18.1701,340.0381,13.5,13.5602,15.0153,0,0,23.3935,0,0,egde-sample-small-01-control-plane-f7dd6,17:55:56 12/22/22 UTC
1.049,0,18.1701,340.0381,13.5,13.5602,15.0153,0,0,23.3935,0,0,egde-sample-small-01-control-plane-f7dd6,17:56:04 12/22/22 UTC
