_CPU_utilization,_disk_read,_disk_utilization,_disk_write,_load_average,_mem_utilization,_net_rx,_net_rx_drop,_net_rx_err,_net_tx,_net_tx_drop,_net_tx_err,label,timestamp
0.4342,0,13.2142,291.0476,113,21.3182,5.6714,0,0,6.0637,0,0,edge-test-control-plane-8fdld,12:11:32 12/19/22 UTC
0.9707,0,11.8906,83.619,13.5,10.737,1.0931,0,0,1.3426,0,0,edge-test-md-0-9n7rn,12:11:37 12/19/22 UTC
0.9842,0,11.9103,93.6762,15,10.7035,1.0985,0,0,1.3476,0,0,edge-test-md-0-qfssg,12:11:43 12/19/22 UTC
0.9744,0,11.9103,84.4571,19,10.7796,1.2181,0,0,1.3477,0,0,edge-test-md-0-vd5z8,12:11:48 12/19/22 UTC
0.6586,0,24.8834,255.8476,57.75,11.4201,4.9923,0,0,8.8159,0,0,starlab-01-control-plane-mmfrj,12:11:53 12/19/22 UTC
1.0988,0,8.6318,124.4952,4.375,3.6661,0.0484,0,0,1.1414,0,0,starlab-01-md-0-6bs5q,12:11:58 12/19/22 UTC
1.1075,0,8.6039,192.4571,2.5,3.6683,0.0472,0,0,1.1382,0,0,starlab-01-md-0-77kds,12:12:03 12/19/22 UTC
1.1041,0,8.6023,202.0952,3.25,3.6458,0.049,0,0,1.139,0,0,starlab-01-md-0-7x9cz,12:12:08 12/19/22 UTC
0.5544,0,8.6363,57.3333,2.25,3.6636,0.0246,0,0,0.571,0,0,starlab-01-md-0-9nc4l,12:12:14 12/19/22 UTC
0.5403,0,8.6036,88.5714,2.25,3.6754,0.0249,0,0,0.5696,0,0,starlab-01-md-0-f6vqn,12:12:19 12/19/22 UTC
0.5319,0,26.1278,203.2381,8.5,12.2108,1.3335,0,0,3.9588,0,0,starlab-edge-3-control-plane-f69n4,12:12:24 12/19/22 UTC
1.0618,0,7.1641,203.2381,8.875,3.6073,1.516,0,0,1.4988,0,0,starlab-edge-3-md-0-5qhsv,12:12:29 12/19/22 UTC
1.07,0,7.264,195.2381,8.125,3.6131,1.4175,0,0,1.5127,0,0,starlab-edge-3-md-0-fmhtr,12:12:34 12/19/22 UTC
1.061,0,7.1531,178.2095,4,3.5928,1.5876,0,0,1.5276,0,0,starlab-edge-3-md-0-xbdtb,12:12:39 12/19/22 UTC
1.0744,0,26.1239,266.4381,8.75,10.8941,13.6259,0,0,12.5226,0,0,starlab-edge-4-control-plane-5j5jk,12:12:44 12/19/22 UTC
0.5675,0,26.322,408.0762,117.75,11.9506,20.8374,0,0,28.6152,0,0,starlab-edge-4-control-plane-l4k4d,12:12:50 12/19/22 UTC
1.0596,0,26.4668,332.3048,10.75,11.6475,14.1939,0,0,16.3086,0,0,starlab-edge-4-control-plane-xt8qc,12:12:55 12/19/22 UTC
1.0699,0,7.2366,182.9714,6.875,3.6255,1.6771,0,0,1.5235,0,0,starlab-edge-4-md-0-6g4rd,12:13:00 12/19/22 UTC
1.0683,0,7.2478,182.5143,6.5,3.6305,1.4827,0,0,1.5167,0,0,starlab-edge-4-md-0-ggxp5,12:13:05 12/19/22 UTC
1.0606,46.2476,7.1865,288.2286,9.125,3.1538,1.7313,0,0,1.5065,0,0,starlab-edge-4-md-0-gszgf,12:13:10 12/19/22 UTC
0.2183,0,13.215,151.6571,116.5,21.2826,2.8186,0,0,3.0325,0,0,edge-test-control-plane-8fdld,12:13:15 12/19/22 UTC
0.4905,0,11.8908,42.819,12.5,10.7149,0.5492,0,0,0.6728,0,0,edge-test-md-0-9n7rn,12:13:20 12/19/22 UTC
0.49,0,11.9105,46.0952,13.5,10.7393,0.6907,0,0,0.6875,0,0,edge-test-md-0-qfssg,12:13:26 12/19/22 UTC
0.9828,0,11.9108,66.9333,15.5,10.7488,1.0447,0,0,1.3383,0,0,edge-test-md-0-vd5z8,12:13:31 12/19/22 UTC
