timestamp,catalogue_cpu_cfs_periods_total,catalogue_cpu_cfs_throttled,catalogue_cpu_usage,catalogue_mem_usage,catalogue_net_rx_byte,catalogue_net_rx_drop,catalogue_net_rx_error,catalogue_net_tx_byte,catalogue_net_tx_drop,catalogue_net_tx_error,compute1_CPU_utilization,compute1_disk_read,compute1_disk_utilization,compute1_disk_write,compute1_load_average,compute1_mem_utilization,compute1_net_rx_drop_eno1,compute1_net_rx_drop_eno2,compute1_net_rx_eno1,compute1_net_rx_eno2,compute1_net_rx_err_eno1,compute1_net_rx_err_eno2,compute1_net_tx_drop_eno1,compute1_net_tx_drop_eno2,compute1_net_tx_eno1,compute1_net_tx_eno2,compute1_net_tx_err_eno1,compute1_net_tx_err_eno2,compute1_temp_cel,compute2_CPU_utilization,compute2_disk_read,compute2_disk_utilization,compute2_disk_write,compute2_load_average,compute2_mem_utilization,compute2_net_rx_drop_eno1,compute2_net_rx_drop_eno2,compute2_net_rx_eno1,compute2_net_rx_eno2,compute2_net_rx_err_eno1,compute2_net_rx_err_eno2,compute2_net_tx_drop_eno1,compute2_net_tx_drop_eno2,compute2_net_tx_eno1,compute2_net_tx_eno2,compute2_net_tx_err_eno1,compute2_net_tx_err_eno2,compute2_temp_cel,front-end_cpu_cfs_periods_total,front-end_cpu_cfs_throttled,front-end_cpu_usage,front-end_mem_usage,front-end_net_rx_byte,front-end_net_rx_drop,front-end_net_rx_error,front-end_net_tx_byte,front-end_net_tx_drop,front-end_net_tx_error,incoming_success_rate,label,latency,orders_cpu_cfs_periods_total,orders_cpu_cfs_throttled,orders_cpu_usage,orders_mem_usage,orders_net_rx_byte,orders_net_rx_drop,orders_net_rx_error,orders_net_tx_byte,orders_net_tx_drop,orders_net_tx_error,payment_cpu_cfs_periods_total,payment_cpu_cfs_throttled,payment_cpu_usage,payment_mem_usage,payment_net_rx_byte,payment_net_rx_drop,payment_net_rx_error,payment_net_tx_byte,payment_net_tx_drop,payment_net_tx_error,queue-master_cpu_cfs_periods_total,queue-master_cpu_cfs_throttled,queue-master_cpu_usage,queue-master_mem_usage,queue-master_net_rx_byte,queue-master_net_rx_drop,queue-master_net_rx_error,queue-master_net_tx_byte,queue-master_net_tx_drop,queue-master_net_tx_error,request_per_second,shipping_cpu_cfs_periods_total,shipping_cpu_cfs_throttled,shipping_cpu_usage,shipping_mem_usage,shipping_net_rx_byte,shipping_net_rx_drop,shipping_net_rx_error,shipping_net_tx_byte,shipping_net_tx_drop,shipping_net_tx_error,vm_1_CPU_utilization,vm_1_disk_read,vm_1_disk_utilization,vm_1_disk_write,vm_1_load_average,vm_1_mem_utilization,vm_1_net_rx,vm_1_net_rx_drop,vm_1_net_rx_err,vm_1_net_tx,vm_1_net_tx_drop,vm_1_net_tx_err,vm_2_CPU_utilization,vm_2_disk_read,vm_2_disk_utilaization,vm_2_disk_write,vm_2_load_average,vm_2_mem_utilization,vm_2_net_rx,vm_2_net_rx_drop,vm_2_net_rx_err,vm_2_net_tx,vm_2_net_tx_drop,vm_2_net_tx_err,vm_3_CPU_utilization,vm_3_disk_read,vm_3_disk_utilaization,vm_3_disk_write,vm_3_load_average,vm_3_mem_utilization,vm_3_net_rx,vm_3_net_rx_drop,vm_3_net_rx_err,vm_3_net_tx,vm_3_net_tx_drop,vm_3_net_tx_err
11:42:28 12/02/22 KST,1.9609,0.8693,12.8765,0,1.3146,0,0,134.9464,0,0,5.9014,0,2.9798,476.5333,3.475,14.4501,0,0,1.6344,578.1408,0,0,0,0,4.8012,390.5421,0,0,38.4286,12.2247,0,8.114,222.7556,14.2125,25.8949,0,0,1.099,41.7169,0,0,0,0,4.6972,504.7938,0,0,42.6667,9.9915,9.2263,96.6454,0.0425,9.9213,0,0,429.9942,0,0,1,0,0.3698,7.9442,0,1.9886,0,1.118,0,0,92.3609,0,0,1.9946,0.6884,11.5272,0,1.0236,0,0,84.0498,0,0,8.2239,0.1237,4.7669,0,4.2862,0,0,137.6614,0,0,50.4,8.0758,0,3.1017,0,0.987,0,0,93.6324,0,0,9.5824,0,6.2614,275.4169,7.3594,7.5235,0.5162,0,0,13.5289,0,0,37.5122,0,7.8035,114.6261,26.5,9.6688,0.7621,0,0,10.051,0,0,4.9614,0,12.6711,0.2964,1.25,3.4798,0.9738,0,0,14.2917,0,0
11:42:40 12/02/22 KST,1.9313,0.9045,13.0541,0,1.3076,0,0,133.9862,0,0,5.8931,0,2.9798,259.3778,3.6125,14.4463,0,0,1.9734,579.3024,0,0,0,0,5.2432,405.4503,0,0,38.4286,12.2497,0,8.114,223.2,13.7625,25.923,0,0,2.1486,42.2432,0,0,0,0,5.4706,504.7515,0,0,41.8333,9.8919,8.33,92.4678,0.2653,11.9276,0,0,508.4398,0,0,1,0,0.2491,7.68,0,1.9615,0,0.9821,0,0,87.1599,0,0,2.2753,0.9101,15.0541,0,1.3128,0,0,108.5883,0,0,8.2977,0.1335,4.9939,0,4.3046,0,0,138.4124,0,0,51.569,7.9804,0,3.0767,0,0.9511,0,0,91.0328,0,0,7.2882,0,6.2625,151.6145,7.3438,7.6059,0.5328,0,0,13.962,0,0,34.8042,0,7.8037,101.4545,26.4375,9.6669,0.7921,0,0,10.4794,0,0,4.4451,0,12.6711,0.2956,1.375,3.4781,0.9732,0,0,14.2499,0,0
11:42:52 12/02/22 KST,1.6872,0.8906,11.9745,0,1.0983,0,0,116.3061,0,0,6.0072,0,2.9798,435.6444,3.725,14.3747,0,0,0.8648,576.0017,0,0,0,0,4.6471,400.5977,0,0,38.9524,12.0914,0,8.114,235.2889,13.375,25.9379,0,0,2.0912,40.9906,0,0,0,0,5.6042,496.7098,0,0,41.7619,9.8424,7.228,87.1905,0.2667,11.8802,0,0,513.87,0,0,1,0,1.8712,6.513,0.0769,2.9293,0,1.0642,0,0,86.6486,0,0,2.548,1.0576,16.0326,0,1.3067,0,0,111.9169,0,0,8.175,0,3.2704,0,4.2604,0,0,136.6143,0,0,46.2,7.7359,0,3.2711,0,0.9641,0,0,90.0222,0,0,7.0188,0,6.2637,256.3381,9.1406,7.7592,0.5132,0,0,13.2789,0,0,38.4661,0,7.8038,111.5635,26.5208,9.672,0.7381,0,0,9.8214,0,0,1.8051,0,12.6711,0.3055,1.375,3.479,1.0016,0,0,14.7008,0,0
11:43:04 12/02/22 KST,1.5035,0.7934,10.6607,0,1.103,0,0,116.7563,0,0,6.2272,0,2.9798,274.5778,3.6875,14.399,0,0,1.9866,576.0492,0,0,0,0,5.348,356.0931,0,0,38.2619,12.0611,0,8.114,156.8,13.025,25.9384,0,0,2.2281,40.7347,0,0,0,0,5.5198,495.7449,0,0,42.1905,8.4603,5.1591,69.6739,0.489,10.6134,0,0,466.3699,0,0,1,0,0.1588,7.8647,0.0626,3.0159,0,0.9836,0,0,82.4897,0,0,2.6706,1.1795,16.6404,0.0004,1.2913,0,0,111.3277,0,0,8.471,1.3477,16.4376,0.002,4.3267,0,0,140.4515,0,0,39.6,7.4683,0.133,4.5016,0,0.753,0,0,69.3184,0,0,7.3071,0,6.2647,258.6182,9.1172,7.7633,0.5328,0,0,13.9602,0,0,34.0379,0,7.8039,115.7818,29.1667,9.6855,0.8038,0,0,10.723,0,0,2.0959,0,12.6711,0,1.375,3.4818,1.0013,0,0,14.7005,0,0
11:43:15 12/02/22 KST,2.0636,1.0318,14.1728,0.1918,1.3037,0,0,133.1831,0,0,6.27,0,2.9798,284.7111,3.625,14.4,0,0,1.6367,576.8663,0,0,0,0,4.8622,327.0158,0,0,38.4286,12.0611,0,8.114,156.8,13.025,25.9384,0,0,2.2281,40.7347,0,0,0,0,5.5198,495.7449,0,0,42.1905,9.6868,5.3609,77.8826,0.629,8.0116,0,0,366.6338,0,0,1,0,0.2077,8.0309,0.0899,3.489,0,0.8547,0,0,72.1443,0,0,2.5156,0.9759,14.414,0.0004,1.2489,0,0,103.9501,0,0,8.9874,3.8939,41.0706,0.0121,3.6297,0,0,116.7031,0,0,39.6,7.3476,0.1822,4.9714,0,0.6926,0,0,59.732,0,0,7.3177,0,6.2656,146.9561,9.0859,7.7666,0.5129,0,0,13.2711,0,0,34.6602,0,7.804,51.7091,31.875,9.6906,0.7921,0,0,10.4834,0,0,1.8351,0,12.6711,0,1.3438,3.481,1.0028,0,0,14.7035,0,0
11:43:27 12/02/22 KST,2.2819,1.238,16.4675,0.2063,1.2833,0,0,131.6792,0,0,6.27,0,2.9798,284.7111,3.625,14.4,0,0,1.6367,576.8663,0,0,0,0,4.8622,327.0158,0,0,38.4286,12.1081,0,8.114,167.1111,12.9,25.9406,0,0,0.8748,39.7001,0,0,0,0,4.6166,497.2532,0,0,41.7857,9.7281,5.0727,76.9031,0.45,9.5982,0,0,443.1377,0,0,1,0,0.1923,8.04,1.2088,14.3295,0.0007,1.0406,0,0,84.6962,0,0,2.5156,0.9759,14.414,0.0004,1.2489,0,0,103.9501,0,0,7.5633,4.1245,42.6945,0.0128,3.684,0,0,118.3932,0,0,46.2,7.3306,0.1705,4.6864,0,0.9152,0,0,83.9077,0,0,7.142,0,6.2668,275.7673,9.0469,7.5529,0.5328,0,0,13.9611,0,0,36.4135,0,7.8041,68.455,37.1667,9.6729,0.7711,0,0,10.201,0,0,1.7107,0,12.6711,0,1.2969,3.4806,1.0017,0,0,14.7273,0,0
11:43:39 12/02/22 KST,1.8735,0.842,11.9615,0.2074,1.2582,0,0,123.9539,0,0,6.3108,0,2.9798,302.7556,3.6125,14.4141,0,0,1.9737,584.1017,0,0,0,0,5.3105,309.5835,0,0,38.3571,12.1731,0,8.114,166.2222,12.9625,25.9502,0,0,1.5359,40.3033,0,0,0,0,5.1818,503.1818,0,0,42.0238,9.6867,5.3612,79.0221,0.6233,9.1437,0,0,415.6732,0,0,1,0,0.4548,8.0814,0.9367,11.5952,1.3804,1.0267,0,0,85.6444,0,0,2.3227,0.9203,14.6267,0.0004,1.2465,0,0,100.3128,0,0,9.463,6.5305,66.3471,1.4371,4.1635,0,0,133.8159,0,0,42.4,5.7063,0.1326,3.6445,0,0.8994,0,0,84.9097,0,0,7.7017,0,6.2679,213.6727,9.1953,7.6115,0.5328,0,0,13.9618,0,0,35.0379,0,7.8043,68.8,42,9.6622,0.7842,0,0,10.4802,0,0,2.1676,0,12.6711,0,1.2734,3.4826,1.0193,0,0,15.1559,0,0
11:43:51 12/02/22 KST,1.4984,0.6044,8.6798,0.2572,1.2838,0,0,130.6408,0,0,6.2542,0,2.9798,296.6222,3.6625,14.4187,0,0,0.8325,584.1388,0,0,0,0,4.6079,324.2858,0,0,40.5,12.2747,0,8.114,187.9111,12.7875,26.0179,0,0,1.508,40.8192,0,0,0,0,5.3198,506.2661,0,0,41.7381,9.7163,5.7968,81.4665,0.4282,9.6261,0,0,447.2764,0,0,1,0,0.3018,8.246,1.0459,12.8615,1.5414,1.0364,0,0,87.9309,0,0,1.9533,0.6721,11.8656,0,7.9175,0,0,100.2477,0,0,9.2525,4.433,45.8684,1.3233,4.0934,0,0,135.0561,0,0,45.4,7.6309,0,3.3316,0,0.9279,0,0,85.6504,0,0,10.6793,0,6.2688,157.0824,9.1406,7.6504,0.5147,0,0,13.4868,0,0,36.4725,0,7.8001,71.9125,44.7917,9.6611,0.762,0,0,10.2069,0,0,1.8592,0,12.6711,0,1.25,3.4793,1.0003,0,0,14.7539,0,0
11:44:03 12/02/22 KST,1.8344,0.8124,12.0487,0,1.0758,0,0,108.6147,0,0,6.3608,0,2.9798,444,3.5875,14.4239,0,0,1.9742,584.68,0,0,0,0,5.3291,348.4769,0,0,38.2857,12.195,0,8.114,228.8,12.45,26.0173,0,0,1.7462,40.7017,0,0,0,0,5.2352,503.6507,0,0,41.9286,9.7342,6.6031,85.3641,0.4457,8.1861,0,0,378.564,0,0,1,0,0.2958,6.8393,0,1.8864,1.394,1.0914,0,0,88.9287,0,0,2.0377,0.8013,13.3558,0.0001,10.5928,0,0,99.5828,0,0,6.9277,1.6633,18.1985,1.4314,3.1957,0,0,107.538,0,0,49.4,7.3318,0,3.1081,0,0.9185,0,0,85.0203,0,0,9.9076,0,6.27,265.2788,9.6406,7.6385,0.517,0,0,13.5544,0,0,36.9172,0,7.8005,114.4423,47.625,9.6739,0.7575,0,0,10.1467,0,0,4.2896,0,12.6711,0,1.2344,3.4845,0.9731,0,0,14.3612,0,0
11:44:14 12/02/22 KST,1.5705,0.7458,11.0858,0,1.1011,0,0,109.719,0,0,6.2992,0,2.9798,283.1111,3.525,14.4261,0,0,1.5424,585.1285,0,0,0,0,4.7883,364.9125,0,0,38.4048,12.195,0,8.114,228.8,12.45,26.0173,0,0,1.7462,40.7017,0,0,0,0,5.2352,503.6507,0,0,41.9286,9.7265,7.2415,87.7242,0.6001,10.3244,0,0,466.5891,0,0,1,0,0.6111,6.6446,0,1.8309,1.3522,1.0931,0,0,87.5717,0,0,1.6498,0.589,10.0362,0.0001,10.2761,0,0,111.4909,0,0,8.517,0,3.0501,0,4.0506,0,0,134.8813,0,0,55.6,5.7764,0,2.4476,0,0.744,0,0,66.1664,0,0,7.3462,0,6.2711,267.5636,10,7.4864,0.5305,0,0,13.8755,0,0,34.8042,0,7.8007,112.2909,51.0833,9.6839,0.7842,0,0,10.4803,0,0,1.4479,0,12.6711,0,1.2578,3.4869,0.994,0,0,14.3892,0,0
